genome_id,dna_sequence,gene_name,mutation_type,chromosome_number,mutation_frequency,protein_expression_level,mutation_effect,mutation_location,mutation_consequence
1,"",KRAS,deletion,14,Never,43.92,nonsense,exon,pathogenic
2,"",EGFR,insertion,8,Daily,74.5,silent,exon,benign
3,"",KRAS,substitution,10,Weekly,15.84,silent,exon,likely pathogenic
4,"",BRCA1,deletion,12,Monthly,14.25,nonsense,intron,benign
5,"",PTEN,deletion,2,Seldom,24.59,missense,intron,pathogenic
6,"",TP53,substitution,9,Daily,66.72,missense,promoter,pathogenic
7,"",TP53,insertion,8,Yearly,84.46,silent,exon,likely pathogenic
8,"",BRCA1,substitution,2,Often,29.1,nonsense,intron,pathogenic
9,"",EGFR,insertion,3,Seldom,25.31,missense,exon,benign
10,"",BRCA1,deletion,23,Yearly,40.08,nonsense,promoter,pathogenic
11,"",BRCA1,substitution,9,Yearly,64.67,nonsense,intron,benign
12,"",KRAS,substitution,16,Seldom,41.38,nonsense,intron,benign
13,"",BRCA1,substitution,14,Monthly,39.64,silent,intron,likely pathogenic
14,"",PTEN,insertion,2,Yearly,38.13,nonsense,promoter,likely pathogenic
15,"",TP53,insertion,6,Monthly,74.82,silent,promoter,likely pathogenic
16,"",TP53,substitution,1,Daily,62.03,nonsense,exon,benign
17,"",KRAS,substitution,17,Never,94.85,nonsense,promoter,likely pathogenic
18,"",EGFR,deletion,19,Often,59.2,missense,promoter,pathogenic
19,"",EGFR,insertion,5,Once,28.73,missense,intron,pathogenic
20,"",KRAS,insertion,3,Yearly,91.54,missense,promoter,pathogenic
21,"",TP53,insertion,7,Weekly,69.3,silent,promoter,likely pathogenic
22,"",PTEN,deletion,9,Yearly,18.06,silent,exon,benign
23,"",TP53,deletion,13,Seldom,86.95,missense,intron,pathogenic
24,"",TP53,substitution,18,Often,13.75,nonsense,exon,likely pathogenic
25,"",KRAS,substitution,2,Often,93.28,nonsense,promoter,likely pathogenic
26,"",BRCA1,deletion,22,Once,95.4,silent,promoter,pathogenic
27,"",PTEN,deletion,7,Often,97.15,missense,exon,likely pathogenic
28,"",KRAS,substitution,3,Daily,47.08,missense,intron,benign
29,"",BRCA1,insertion,10,Never,94.65,missense,exon,pathogenic
30,"",EGFR,substitution,15,Often,93.14,silent,promoter,benign
31,"",EGFR,deletion,1,Often,80.74,missense,exon,pathogenic
32,"",PTEN,insertion,12,Yearly,23.59,silent,intron,likely pathogenic
33,"",BRCA1,deletion,3,Weekly,90.62,silent,intron,pathogenic
34,"",KRAS,deletion,1,Yearly,54.54,silent,exon,pathogenic
35,"",KRAS,substitution,7,Seldom,73.1,missense,intron,benign
36,"",PTEN,deletion,19,Often,53.81,nonsense,exon,benign
37,"",BRCA1,insertion,19,Yearly,40.78,missense,intron,likely pathogenic
38,"",EGFR,insertion,12,Once,37.02,nonsense,exon,pathogenic
